,Value,Year,ProviderType,Purpose
0,10875.0,2012,COMPANY,EDUCATION
1,1981982.0,2012,COMPANY,EDUCATION
2,198971.0,2012,COMPANY,EDUCATION
3,7197409.0,2012,COMPANY,EDUCATION
4,8064.0,2012,COMPANY,EDUCATION
5,28409.0,2012,COLLEGE,EDUCATION
6,239224.0,2012,COLLEGE,EDUCATION
7,3155112.0,2012,COLLEGE,EDUCATION
8,64233.0,2012,COLLEGE,EDUCATION
9,474780.0,2012,COLLEGE,EDUCATION
10,647267.0,2012,COMPANY,EDUCATION
11,2386299.0,2012,COMPANY,EDUCATION
12,144202.0,2012,COMPANY,EDUCATION
13,2128731.0,2012,COMPANY,EDUCATION
14,11013.0,2012,COMPANY,EDUCATION
15,19191.0,2012,COMPANY,EDUCATION
16,118020.0,2012,COMPANY,EDUCATION
17,485553.0,2012,COMPANY,EDUCATION
18,7343.0,2012,COMPANY,EDUCATION
19,272852.0,2012,COMPANY,EDUCATION
20,2526919.0,2012,COMPANY,EDUCATION
21,495397.0,2012,COMPANY,EDUCATION
22,633843.0,2012,COMPANY,EDUCATION
23,495517.0,2012,COMPANY,EDUCATION
24,1455799.0,2012,COMPANY,EDUCATION
25,852821.0,2012,COLLEGE,EDUCATION
26,6121882.0,2012,COLLEGE,EDUCATION
27,1767010.0,2012,COMPANY,EDUCATION
28,336849.0,2012,COMPANY,EDUCATION
29,1641268.0,2012,COMPANY,EDUCATION
30,105777.0,2012,COMPANY,EDUCATION
31,412357.0,2012,COMPANY,EDUCATION
32,1511022.0,2012,COMPANY,EDUCATION
33,5048226.0,2012,COMPANY,EDUCATION
34,11486.0,2012,COMPANY,EDUCATION
35,351192.0,2012,COMPANY,EDUCATION
36,698843.0,2012,COMPANY,EDUCATION
37,1759662.0,2012,COMPANY,EDUCATION
38,28683.0,2012,COMPANY,EDUCATION
39,559370.0,2012,COMPANY,EDUCATION
40,846198.0,2012,COMPANY,EDUCATION
41,270438.0,2012,COMPANY,EDUCATION
42,13764.0,2012,COMPANY,EDUCATION
43,231221.0,2012,COMPANY,EDUCATION
44,368949.0,2012,COLLEGE,EDUCATION
45,6055.0,2012,COMPANY,EDUCATION
46,3873.0,2012,COLLEGE,EDUCATION
47,208824.0,2012,COLLEGE,EDUCATION
48,4201126.0,2012,COLLEGE,EDUCATION
49,23025.0,2012,COMPANY,EDUCATION
50,37360.0,2012,COMPANY,EDUCATION
51,648207.0,2012,COMPANY,EDUCATION
52,156116.0,2012,COMPANY,EDUCATION
53,2516062.0,2012,COMPANY,EDUCATION
54,112972.0,2012,COMPANY,EDUCATION
55,433144.0,2012,COMPANY,EDUCATION
56,498564.0,2012,COMPANY,EDUCATION
57,180429.0,2012,COMPANY,EDUCATION
58,893710.0,2012,COMPANY,EDUCATION
59,113676.0,2012,COLLEGE,EDUCATION
60,337180.0,2012,COMPANY,EDUCATION
61,302106.0,2012,COLLEGE,EDUCATION
62,296169.0,2012,COLLEGE,EDUCATION
63,1017813.0,2012,COLLEGE,EDUCATION
64,3266988.0,2012,COLLEGE,EDUCATION
65,118529.0,2012,COMPANY,EDUCATION
66,271571.0,2012,COMPANY,EDUCATION
67,243194.0,2012,COMPANY,EDUCATION
68,415604.0,2012,COMPANY,EDUCATION
69,663341.0,2012,COMPANY,EDUCATION
70,3196241.0,2012,COMPANY,EDUCATION
71,55837.0,2012,COMPANY,EDUCATION
72,64097.0,2012,COMPANY,EDUCATION
73,606581.0,2012,COMPANY,EDUCATION
74,522138.0,2012,COMPANY,EDUCATION
75,943953.0,2012,COMPANY,EDUCATION
76,232996.0,2012,COMPANY,EDUCATION
77,6662401.0,2012,COMPANY,EDUCATION
78,93294.0,2012,COMPANY,EDUCATION
79,328087.0,2012,COMPANY,EDUCATION
80,306238.0,2012,COMPANY,EDUCATION
81,722259.0,2012,COMPANY,EDUCATION
82,882251.0,2012,COLLEGE,EDUCATION
83,2924405.0,2012,COLLEGE,EDUCATION
84,1129444.0,2012,COMPANY,EDUCATION
85,1213616.0,2012,COMPANY,EDUCATION
86,431336.0,2012,COMPANY,EDUCATION
87,1546166.0,2012,COMPANY,EDUCATION
88,8996938.0,2012,COMPANY,EDUCATION
89,28167229.0,2012,COMPANY,EDUCATION
90,1844325.0,2012,COLLEGE,EDUCATION
91,2297700.0,2012,COLLEGE,EDUCATION
92,334384.0,2012,COMPANY,EDUCATION
93,1742316.0,2012,COMPANY,EDUCATION
94,523993.0,2012,COMPANY,EDUCATION
95,737898.0,2012,COMPANY,EDUCATION
96,1462593.0,2012,COMPANY,EDUCATION
97,2325509.0,2012,COMPANY,EDUCATION
98,6082.0,2012,COMPANY,EDUCATION
99,19995.0,2012,COMPANY,EDUCATION
100,550194.0,2012,COMPANY,EDUCATION
101,723197.0,2012,COMPANY,EDUCATION
102,1137113.0,2012,COMPANY,EDUCATION
103,1249948.0,2012,COLLEGE,EDUCATION
104,10581441.0,2012,COLLEGE,EDUCATION
105,257911.0,2012,COMPANY,EDUCATION
106,300709.0,2012,COMPANY,EDUCATION
107,242046.0,2012,COLLEGE,EDUCATION
108,500492.0,2012,COLLEGE,EDUCATION
109,21699453.0,2012,COLLEGE,EDUCATION
110,199572.0,2012,COLLEGE,EDUCATION
111,635938.0,2012,COLLEGE,EDUCATION
112,7554457.0,2012,COLLEGE,EDUCATION
113,1183483.0,2012,COMPANY,EDUCATION
114,1210608.0,2012,COMPANY,EDUCATION
115,197447.0,2012,COLLEGE,EDUCATION
116,431262.0,2012,COLLEGE,EDUCATION
117,49194.0,2012,COLLEGE,EDUCATION
118,926634.0,2012,COLLEGE,EDUCATION
119,5009378.0,2012,COLLEGE,EDUCATION
120,282118.0,2012,COMPANY,EDUCATION
121,345619.0,2012,COMPANY,EDUCATION
122,589550.0,2012,COMPANY,EDUCATION
123,90357.0,2012,COLLEGE,EDUCATION
124,1606512.0,2012,COLLEGE,EDUCATION
125,8627654.0,2012,COLLEGE,EDUCATION
126,5020.0,2012,COLLEGE,EDUCATION
127,9829.0,2012,COLLEGE,EDUCATION
128,1205735.0,2012,COLLEGE,EDUCATION
129,34596.0,2012,COMPANY,EDUCATION
130,26970.0,2012,COLLEGE,EDUCATION
131,280856.0,2012,COLLEGE,EDUCATION
132,520104.0,2012,COLLEGE,EDUCATION
133,3455686.0,2012,COLLEGE,EDUCATION
134,298466.0,2012,COMPANY,EDUCATION
135,1105109.0,2012,COMPANY,EDUCATION
136,166352.0,2012,COMPANY,EDUCATION
137,887458.0,2012,COMPANY,EDUCATION
138,21081.0,2012,COLLEGE,EDUCATION
139,482630.0,2012,COLLEGE,EDUCATION
140,1323244.0,2012,COLLEGE,EDUCATION
141,324060.0,2012,COLLEGE,EDUCATION
142,5405211.0,2012,COMPANY,EDUCATION
143,6625055.0,2012,COMPANY,EDUCATION
144,180643.0,2012,UNIVERSITY,EDUCATION
145,91143.0,2012,COMPANY,EDUCATION
146,359082.0,2012,COMPANY,EDUCATION
147,247546.0,2012,COLLEGE,EDUCATION
148,4377079.0,2012,COLLEGE,EDUCATION
149,30251885.0,2012,COLLEGE,EDUCATION
150,156578.0,2012,COLLEGE,EDUCATION
