LeadROName,ProjectCategory,year,AwardPounds,ProviderType
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED",RESEARCH,2018,56325,COMPANY
2 DEGREES LIMITED,RESEARCH,2018,78076,COMPANY
2020 POWER GENERATION LIMITED,RESEARCH,2016,1597330,COMPANY
23 LIMITED,RESEARCH,2018,52447,COMPANY
2D HEAT LIMITED,RESEARCH,2017,172740,COMPANY
3D ENGINEERING DESIGN LIMITED,RESEARCH,2017,287396,COMPANY
3F BIO LTD,RESEARCH,2017,69625,COMPANY
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RESEARCH,2018,395176,COMPANY
42 TECHNOLOGY LIMITED,BUSINESS,2018,349590,COMPANY
4TITUDE LIMITED,EDUCATION,2016,144475,COMPANY
5D HEALTH PROTECTION GROUP LTD,RESEARCH,2018,365227,COMPANY
A.M. PACKAGING LIMITED,RESEARCH,2018,145191,COMPANY
A.M. PACKAGING LIMITED,RESEARCH,2017,228350,COMPANY
A.T.KEARNEY LIMITED,RESEARCH,2016,3821671,COMPANY
A.T.KEARNEY LIMITED,RESEARCH,2018,3892619,COMPANY
ABERYSTWYTH UNIVERSITY,EDUCATION,2018,94978,UNIVERSITY
ABERYSTWYTH UNIVERSITY,BUSINESS,2018,116079,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2013,162543,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2014,2436284,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2015,1044324,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2016,1001778,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2017,3035541,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2018,3343067,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2014,93520,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2015,357381,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2016,95042,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2017,74539,UNIVERSITY
ABERYSTWYTH UNIVERSITY,RESEARCH,2018,150664,UNIVERSITY
ABINGDON HEALTH LTD,RESEARCH,2018,633445,COMPANY
ABLATUS THERAPEUTICS LIMITED,RESEARCH,2017,443931,COMPANY
ABRIACHAN FOREST TRUST,RESEARCH,2018,14970,COMPANY
ABSOLUTE ANTIBODY LIMITED,EDUCATION,2017,161505,COMPANY
ABSTRUSE 3D LIMITED,RESEARCH,2018,68747,COMPANY
ACCELERCOMM LTD,RESEARCH,2018,178125,COMPANY
ACCUNEA LTD.,RESEARCH,2018,77012,COMPANY
ACCURX LIMITED,RESEARCH,2017,398735,COMPANY
ACCURX LIMITED,RESEARCH,2018,697772,COMPANY
ACT BLADE LIMITED,RESEARCH,2016,1028632,COMPANY
ACT BLADE LIMITED,RESEARCH,2017,1021267,COMPANY
ACTIVE NEEDLE TECHNOLOGY LTD,RESEARCH,2018,131754,COMPANY
ADAPTIX LIMITED,RESEARCH,2018,601300,COMPANY
ADAPTIX LIMITED,RESEARCH,2018,92532,COMPANY
ADDED SCIENTIFIC LIMITED,RESEARCH,2017,119886,COMPANY
ADDED SCIENTIFIC LIMITED,RESEARCH,2018,45615,COMPANY
ADDIS ABABA UNIVERSITY,RESEARCH,2015,301668,UNIVERSITY
ADELAN LIMITED,RESEARCH,2017,330173,COMPANY
ADJACENCY GROUP LTD,RESEARCH,2017,62858,COMPANY
ADS GROUP LIMITED,BUSINESS,2017,8000000,COMPANY
ADVANCED ANALYTICS LABS LTD,RESEARCH,2018,402391,COMPANY
ADVANCED BLAST & BALLISTIC SYSTEMS LIMITED,RESEARCH,2017,830357,COMPANY
ADVANCED ELECTRIC MACHINES RESEARCH LIMITED,RESEARCH,2018,530974,COMPANY
ADVANCED EXPERT SYSTEMS LIMITED,RESEARCH,2018,139817,COMPANY
ADVANCED HALL SENSORS LIMITED,RESEARCH,2017,636716,COMPANY
ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED,RESEARCH,2015,529477,COMPANY
ADVANCED MICROWAVE TECHNOLOGIES LTD,RESEARCH,2018,318131,COMPANY
ADVISE-DETA LIMITED,RESEARCH,2018,1328497,COMPANY
ADVIZZO LTD,RESEARCH,2018,339270,COMPANY
AECOM LIMITED,RESEARCH,2017,4137400,COMPANY
AERO ACOUSTICS LTD,RESEARCH,2018,166828,COMPANY
AFIMILK UK LIMITED,RESEARCH,2015,399420,COMPANY
AFIMILK UK LIMITED,RESEARCH,2015,438892,COMPANY
AGA KHAN UNIVERSITY,RESEARCH,2014,839934,UNIVERSITY
AGCO LIMITED,RESEARCH,2017,169480,COMPANY
AGILE IMPRESSIONS LTD,RESEARCH,2018,263417,COMPANY
AGLARIS LIMITED,RESEARCH,2018,545024,COMPANY
AGLARIS LIMITED,RESEARCH,2018,250617,COMPANY
AGM BATTERIES LIMITED,RESEARCH,2016,2700928,COMPANY
AGM BATTERIES LIMITED,RESEARCH,2018,3224493,COMPANY
AGRI-EPI CENTRE LIMITED,RESEARCH,2016,17785517,COMPANY
AGRI-EPI CENTRE LIMITED,RESEARCH,2017,1041050,COMPANY
AGRI-EPI CENTRE LIMITED,RESEARCH,2018,300000,COMPANY
AGRIMETRICS LIMITED,RESEARCH,2017,589000,COMPANY
AGRIMETRICS LIMITED,RESEARCH,2015,11780000,COMPANY
AGRITHERM LIMITED,RESEARCH,2018,118799,COMPANY
AGROCEUTICAL PRODUCTS LTD,RESEARCH,2015,402163,COMPANY
AIMES MANAGEMENT SERVICES LIMITED,RESEARCH,2018,642935,COMPANY
"AIPOD, LTD",RESEARCH,2018,2847814,COMPANY
AIR CONTROL ENTECH LIMITED,RESEARCH,2018,783928,COMPANY
AIR LIQUIDE ADVANCED BUSINESS AND TECHNOLOGIES UK LIMITED,RESEARCH,2017,1045739,COMPANY
AIRBUS DEFENCE AND SPACE LIMITED,BUSINESS,2016,3644386,COMPANY
AIRBUS DEFENCE AND SPACE LIMITED,RESEARCH,2017,203975,COMPANY
AIRBUS DEFENCE AND SPACE LIMITED,RESEARCH,2017,128311,COMPANY
AIRBUS GROUP LIMITED,BUSINESS,2014,1678305,COMPANY
AIRBUS GROUP LIMITED,RESEARCH,2017,587222,COMPANY
