LeadROName,ProjectCategory,year,Region,AwardPounds
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED",FEASIBILITY STUDIES,2018,UNKNOWN,56325.0
2 DEGREES LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,78076.0
2020 POWER GENERATION LIMITED,COLLABORATIVE R&D,2016,SOUTH EAST,1597330.0
23 LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,52447.0
2D HEAT LIMITED,FEASIBILITY STUDIES,2017,NORTH WEST,172740.0
3D ENGINEERING DESIGN LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,287396.0
3F BIO LTD,FEASIBILITY STUDIES,2017,SCOTLAND,69625.0
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,FEASIBILITY STUDIES,2018,SOUTH EAST,395176.0
42 TECHNOLOGY LIMITED,SMALL BUSINESS RESEARCH INITIATIVE,2018,EAST OF ENGLAND,349590.0
4TITUDE LIMITED,EU-FUNDED,2016,SOUTH EAST,144475.0
5D HEALTH PROTECTION GROUP LTD,COLLABORATIVE R&D,2018,UNKNOWN,365227.0
A.M. PACKAGING LIMITED,COLLABORATIVE R&D,2018,EAST MIDLANDS,145191.0
A.M. PACKAGING LIMITED,FEASIBILITY STUDIES,2017,EAST MIDLANDS,228350.0
A.T.KEARNEY LIMITED,COLLABORATIVE R&D,2016,LONDON,3821671.0
A.T.KEARNEY LIMITED,COLLABORATIVE R&D,2018,LONDON,3892619.0
ABERYSTWYTH UNIVERSITY,FELLOWSHIP,2018,WALES,94978.0
ABERYSTWYTH UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,WALES,116079.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2013,WALES,162543.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2014,WALES,2436284.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2015,WALES,1044324.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2016,WALES,1001778.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2017,WALES,3035541.0
ABERYSTWYTH UNIVERSITY,RESEARCH GRANT,2018,WALES,3343067.0
ABERYSTWYTH UNIVERSITY,TRAINING GRANT,2014,WALES,93520.0
ABERYSTWYTH UNIVERSITY,TRAINING GRANT,2015,WALES,357381.0
ABERYSTWYTH UNIVERSITY,TRAINING GRANT,2016,WALES,95042.0
ABERYSTWYTH UNIVERSITY,TRAINING GRANT,2017,WALES,74539.0
ABERYSTWYTH UNIVERSITY,TRAINING GRANT,2018,WALES,150664.0
ABINGDON HEALTH LTD,COLLABORATIVE R&D,2018,UNKNOWN,633445.0
ABLATUS THERAPEUTICS LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,443931.0
ABRIACHAN FOREST TRUST,RESEARCH GRANT,2018,UNKNOWN,14970.0
ABSOLUTE ANTIBODY LIMITED,EU-FUNDED,2017,SOUTH EAST,161505.0
ABSTRUSE 3D LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,68747.0
ACCELERCOMM LTD,FEASIBILITY STUDIES,2018,SOUTH EAST,178125.0
ACCUNEA LTD.,FEASIBILITY STUDIES,2018,UNKNOWN,77012.0
ACCURX LIMITED,COLLABORATIVE R&D,2017,LONDON,398735.0
ACCURX LIMITED,COLLABORATIVE R&D,2018,LONDON,697772.0
ACT BLADE LIMITED,COLLABORATIVE R&D,2016,SCOTLAND,1028632.0
ACT BLADE LIMITED,FEASIBILITY STUDIES,2017,SCOTLAND,1021267.0
ACTIVE NEEDLE TECHNOLOGY LTD,CRD,2018,UNKNOWN,131754.0
ADAPTIX LIMITED,COLLABORATIVE R&D,2018,SOUTH EAST,601300.0
ADAPTIX LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,92532.0
ADDED SCIENTIFIC LIMITED,FEASIBILITY STUDIES,2017,EAST MIDLANDS,119886.0
ADDED SCIENTIFIC LIMITED,FEASIBILITY STUDIES,2018,EAST MIDLANDS,45615.0
ADDIS ABABA UNIVERSITY,RESEARCH GRANT,2015,OUTSIDE UK,301668.0
ADELAN LIMITED,COLLABORATIVE R&D,2017,WEST MIDLANDS,330173.0
ADJACENCY GROUP LTD,FEASIBILITY STUDIES,2017,EAST MIDLANDS,62858.0
ADS GROUP LIMITED,BIS-FUNDED PROGRAMMES,2017,LONDON,8000000.0
ADVANCED ANALYTICS LABS LTD,COLLABORATIVE R&D,2018,UNKNOWN,402391.0
