Value,Year,ProviderType,Purpose
10875,2012,COMPANY,EDUCATION
1981982,2012,COMPANY,EDUCATION
198971,2012,COMPANY,EDUCATION
7197409,2012,COMPANY,EDUCATION
8064,2012,COMPANY,EDUCATION
28409,2012,COLLEGE,EDUCATION
239224,2012,COLLEGE,EDUCATION
3155112,2012,COLLEGE,EDUCATION
64233,2012,COLLEGE,EDUCATION
474780,2012,COLLEGE,EDUCATION
647267,2012,COMPANY,EDUCATION
2386299,2012,COMPANY,EDUCATION
144202,2012,COMPANY,EDUCATION
2128731,2012,COMPANY,EDUCATION
11013,2012,COMPANY,EDUCATION
19191,2012,COMPANY,EDUCATION
118020,2012,COMPANY,EDUCATION
485553,2012,COMPANY,EDUCATION
7343,2012,COMPANY,EDUCATION
272852,2012,COMPANY,EDUCATION
2526919,2012,COMPANY,EDUCATION
495397,2012,COMPANY,EDUCATION
633843,2012,COMPANY,EDUCATION
495517,2012,COMPANY,EDUCATION
1455799,2012,COMPANY,EDUCATION
852821,2012,COLLEGE,EDUCATION
6121882,2012,COLLEGE,EDUCATION
1767010,2012,COMPANY,EDUCATION
336849,2012,COMPANY,EDUCATION
1641268,2012,COMPANY,EDUCATION
105777,2012,COMPANY,EDUCATION
412357,2012,COMPANY,EDUCATION
1511022,2012,COMPANY,EDUCATION
5048226,2012,COMPANY,EDUCATION
11486,2012,COMPANY,EDUCATION
351192,2012,COMPANY,EDUCATION
698843,2012,COMPANY,EDUCATION
1759662,2012,COMPANY,EDUCATION
28683,2012,COMPANY,EDUCATION
559370,2012,COMPANY,EDUCATION
846198,2012,COMPANY,EDUCATION
270438,2012,COMPANY,EDUCATION
13764,2012,COMPANY,EDUCATION
231221,2012,COMPANY,EDUCATION
368949,2012,COLLEGE,EDUCATION
6055,2012,COMPANY,EDUCATION
3873,2012,COLLEGE,EDUCATION
208824,2012,COLLEGE,EDUCATION
4201126,2012,COLLEGE,EDUCATION
23025,2012,COMPANY,EDUCATION
37360,2012,COMPANY,EDUCATION
648207,2012,COMPANY,EDUCATION
156116,2012,COMPANY,EDUCATION
2516062,2012,COMPANY,EDUCATION
112972,2012,COMPANY,EDUCATION
433144,2012,COMPANY,EDUCATION
498564,2012,COMPANY,EDUCATION
180429,2012,COMPANY,EDUCATION
893710,2012,COMPANY,EDUCATION
113676,2012,COLLEGE,EDUCATION
337180,2012,COMPANY,EDUCATION
302106,2012,COLLEGE,EDUCATION
296169,2012,COLLEGE,EDUCATION
1017813,2012,COLLEGE,EDUCATION
3266988,2012,COLLEGE,EDUCATION
118529,2012,COMPANY,EDUCATION
271571,2012,COMPANY,EDUCATION
243194,2012,COMPANY,EDUCATION
415604,2012,COMPANY,EDUCATION
663341,2012,COMPANY,EDUCATION
3196241,2012,COMPANY,EDUCATION
55837,2012,COMPANY,EDUCATION
64097,2012,COMPANY,EDUCATION
606581,2012,COMPANY,EDUCATION
522138,2012,COMPANY,EDUCATION
943953,2012,COMPANY,EDUCATION
232996,2012,COMPANY,EDUCATION
6662401,2012,COMPANY,EDUCATION
93294,2012,COMPANY,EDUCATION
328087,2012,COMPANY,EDUCATION
306238,2012,COMPANY,EDUCATION
722259,2012,COMPANY,EDUCATION
882251,2012,COLLEGE,EDUCATION
2924405,2012,COLLEGE,EDUCATION
1129444,2012,COMPANY,EDUCATION
1213616,2012,COMPANY,EDUCATION
431336,2012,COMPANY,EDUCATION
1546166,2012,COMPANY,EDUCATION
8996938,2012,COMPANY,EDUCATION
28167229,2012,COMPANY,EDUCATION
1844325,2012,COLLEGE,EDUCATION
2297700,2012,COLLEGE,EDUCATION
334384,2012,COMPANY,EDUCATION
1742316,2012,COMPANY,EDUCATION
523993,2012,COMPANY,EDUCATION
737898,2012,COMPANY,EDUCATION
1462593,2012,COMPANY,EDUCATION
2325509,2012,COMPANY,EDUCATION
6082,2012,COMPANY,EDUCATION
19995,2012,COMPANY,EDUCATION
550194,2012,COMPANY,EDUCATION
723197,2012,COMPANY,EDUCATION
1137113,2012,COMPANY,EDUCATION
1249948,2012,COLLEGE,EDUCATION
10581441,2012,COLLEGE,EDUCATION
257911,2012,COMPANY,EDUCATION
300709,2012,COMPANY,EDUCATION
242046,2012,COLLEGE,EDUCATION
500492,2012,COLLEGE,EDUCATION
21699453,2012,COLLEGE,EDUCATION
199572,2012,COLLEGE,EDUCATION
635938,2012,COLLEGE,EDUCATION
7554457,2012,COLLEGE,EDUCATION
1183483,2012,COMPANY,EDUCATION
1210608,2012,COMPANY,EDUCATION
197447,2012,COLLEGE,EDUCATION
431262,2012,COLLEGE,EDUCATION
49194,2012,COLLEGE,EDUCATION
926634,2012,COLLEGE,EDUCATION
5009378,2012,COLLEGE,EDUCATION
282118,2012,COMPANY,EDUCATION
345619,2012,COMPANY,EDUCATION
589550,2012,COMPANY,EDUCATION
90357,2012,COLLEGE,EDUCATION
1606512,2012,COLLEGE,EDUCATION
8627654,2012,COLLEGE,EDUCATION
5020,2012,COLLEGE,EDUCATION
9829,2012,COLLEGE,EDUCATION
1205735,2012,COLLEGE,EDUCATION
34596,2012,COMPANY,EDUCATION
26970,2012,COLLEGE,EDUCATION
