LeadROName,StartDate,AwardPounds
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED",2018,56325.0
2 DEGREES LIMITED,2018,78076.0
2020 POWER GENERATION LIMITED,2016,1597330.0
23 LIMITED,2018,52447.0
2D HEAT LIMITED,2017,172740.0
3D ENGINEERING DESIGN LIMITED,2017,287396.0
3F BIO LTD,2017,69625.0
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,2018,395176.0
42 TECHNOLOGY LIMITED,2018,349590.0
4TITUDE LIMITED,2016,144475.0
5D HEALTH PROTECTION GROUP LTD,2018,365227.0
A.M. PACKAGING LIMITED,2017,228350.0
A.M. PACKAGING LIMITED,2018,145191.0
A.T.KEARNEY LIMITED,2016,3821671.0
A.T.KEARNEY LIMITED,2018,3892619.0
ABERYSTWYTH UNIVERSITY,2013,162543.0
ABERYSTWYTH UNIVERSITY,2014,2529804.0
ABERYSTWYTH UNIVERSITY,2015,1401705.0
ABERYSTWYTH UNIVERSITY,2016,1096820.0
ABERYSTWYTH UNIVERSITY,2017,3110080.0
ABERYSTWYTH UNIVERSITY,2018,3704788.0
ABINGDON HEALTH LTD,2018,633445.0
ABLATUS THERAPEUTICS LIMITED,2017,443931.0
ABRIACHAN FOREST TRUST,2018,14970.0
ABSOLUTE ANTIBODY LIMITED,2017,161505.0
ABSTRUSE 3D LIMITED,2018,68747.0
ACCELERCOMM LTD,2018,178125.0
ACCUNEA LTD.,2018,77012.0
ACCURX LIMITED,2017,398735.0
ACCURX LIMITED,2018,697772.0
ACT BLADE LIMITED,2016,1028632.0
ACT BLADE LIMITED,2017,1021267.0
ACTIVE NEEDLE TECHNOLOGY LTD,2018,131754.0
ADAPTIX LIMITED,2018,693832.0
ADDED SCIENTIFIC LIMITED,2017,119886.0
ADDED SCIENTIFIC LIMITED,2018,45615.0
ADDIS ABABA UNIVERSITY,2015,301668.0
ADELAN LIMITED,2017,330173.0
ADJACENCY GROUP LTD,2017,62858.0
ADS GROUP LIMITED,2017,8000000.0
ADVANCED ANALYTICS LABS LTD,2018,402391.0
ADVANCED BLAST & BALLISTIC SYSTEMS LIMITED,2017,830357.0
ADVANCED ELECTRIC MACHINES RESEARCH LIMITED,2018,530974.0
ADVANCED EXPERT SYSTEMS LIMITED,2018,139817.0
ADVANCED HALL SENSORS LIMITED,2017,636716.0
ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED,2015,529477.0
ADVANCED MICROWAVE TECHNOLOGIES LTD,2018,318131.0
ADVISE-DETA LIMITED,2018,1328497.0
ADVIZZO LTD,2018,339270.0
AECOM LIMITED,2017,4137400.0
AERO ACOUSTICS LTD,2018,166828.0
AFIMILK UK LIMITED,2015,838312.0
AGA KHAN UNIVERSITY,2014,839934.0
AGCO LIMITED,2017,169480.0
AGILE IMPRESSIONS LTD,2018,263417.0
AGLARIS LIMITED,2018,795641.0
AGM BATTERIES LIMITED,2016,2700928.0
AGM BATTERIES LIMITED,2018,3224493.0
AGRI-EPI CENTRE LIMITED,2016,17785517.0
AGRI-EPI CENTRE LIMITED,2017,1041050.0
AGRI-EPI CENTRE LIMITED,2018,300000.0
AGRIMETRICS LIMITED,2015,11780000.0
AGRIMETRICS LIMITED,2017,589000.0
AGRITHERM LIMITED,2018,118799.0
AGROCEUTICAL PRODUCTS LTD,2015,402163.0
AIMES MANAGEMENT SERVICES LIMITED,2018,642935.0
"AIPOD, LTD",2018,2847814.0
AIR CONTROL ENTECH LIMITED,2018,783928.0
AIR LIQUIDE ADVANCED BUSINESS AND TECHNOLOGIES UK LIMITED,2017,1045739.0
AIRBUS DEFENCE AND SPACE LIMITED,2016,3644386.0
AIRBUS DEFENCE AND SPACE LIMITED,2017,332286.0
AIRBUS GROUP LIMITED,2014,1678305.0
AIRBUS GROUP LIMITED,2017,587222.0
AIRBUS GROUP LIMITED,2018,646445.0
AIRBUS HELICOPTERS UK LIMITED,2015,1012001.0
AIRBUS OPERATIONS LIMITED,2014,19959021.0
AIRBUS OPERATIONS LIMITED,2015,19055757.0
AIRBUS OPERATIONS LIMITED,2016,18412442.0
