,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
0,Durham University,Physics,Training Grant,735070.0,North East,2017
1,University of Warwick,Politics and International Studies,Research Grant,7027.0,West Midlands,2018
2,University of Nottingham,School of Life Sciences,Research Grant,495279.0,East Midlands,2018
3,University of York,Biology,Research Grant,3141753.0,Yorkshire and The Humber,2014
4,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,219317.0,London,2017
5,University of the Arts London,Central Saint Martin's College,Research Grant,299280.0,London,2017
6,Trak-Rap Limited,,Collaborative R&D,381564.0,Yorkshire and The Humber,2017
7,University of Bristol,Mathematics,Research Grant,120934.0,South West,2018
8,University of Strathclyde,Inst of Pharmacy and Biomedical Sci,Training Grant,99034.0,Scotland,2018
9,University of Oxford,Psychiatry,Research Grant,767454.0,South East,2017
10,University of Oxford,Zoology,Training Grant,98212.0,South East,2017
11,Institute for Fiscal Studies,IFS Research Team,Research Grant,279490.0,London,2014
12,University of Oxford,Oxford Chemistry,Research Grant,364579.0,South East,2015
13,Future Transport Systems Ltd,,Collaborative R&D,890384.0,West Midlands,2017
14,University of Leeds,Sch of Computing,Research Grant,303126.0,Yorkshire and The Humber,2018
15,Imperial College London,Dept of Bioengineering,Research Grant,541821.0,London,2018
16,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,417933.0,London,2016
17,University of Cambridge,Veterinary Medicine,Research Grant,552508.0,East of England,2016
18,Queen's University of Belfast,,Knowledge Transfer Partnership,97894.0,Northern Ireland,2018
19,University of Essex,Economics,Research Grant,220953.0,East of England,2016
20,University of Reading,Food and Nutritional Sciences,Research Grant,595040.0,South East,2014
21,Imperial College London,Earth Science and Engineering,Research Grant,490886.0,London,2017
22,Serelay Limited,,Feasibility Studies,209758.0,Unknown,2018
23,University of Cambridge,Physics,Research Grant,14500.0,East of England,2018
24,University of Oxford,Mathematical Institute,Research Grant,595108.0,South East,2017
25,University of Bristol,Physics,Training Grant,4554507.0,South West,2014
26,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,2555641.0,East Midlands,2014
27,University of Hertfordshire,Science and Technology RI,Research Grant,578050.0,East of England,2017
28,University of Zurich,Institute of Plant Biology,Research Grant,151135.0,Outside UK,2018
29,University of Sussex,"Sch of Media, Film and Music",Research Grant,80087.0,South East,2018
30,University of Nottingham,Sch of Pharmacy,Research Grant,293993.0,East Midlands,2017
31,University of Nottingham,School of Medicine,Research Grant,438477.0,East Midlands,2017
32,Croda Europe Limited,,EU-Funded,65217.0,Yorkshire and The Humber,2016
33,John Innes Centre,Crop Genetics,Research Grant,509629.0,East of England,2018
34,University of Bristol,Engineering Mathematics,Research Grant,307644.0,South West,2016
35,National Inst of Agricultural Botany,Centre for Research,Research Grant,358962.0,East of England,2016
36,University of Nottingham,Faculty of Engineering,Research Grant,254069.0,East Midlands,2017
37,University of KwaZulu-Natal,Faculty of Engineering,Research Grant,208763.0,Outside UK,2015
38,NERC British Geological Survey,NERC Isotope Geosciences Laboratory,Research Grant,138079.0,East Midlands,2017
39,University of Edinburgh,Sch of Mathematics,Research Grant,157625.0,Scotland,2016
40,University of Reading,Meteorology,Research Grant,1320802.0,South East,2013
41,University of Southampton,Sch of Biological Sciences,Research Grant,298189.0,South East,2015
42,University of Birmingham,Vice Chancellors Office,Research Grant,531286.0,West Midlands,2018
43,University of York,Computer Science,Research Grant,1766824.0,Yorkshire and The Humber,2015
44,Imperial College London,Dept of Mathematics,Research Grant,773844.0,London,2016
45,Naturiol Bangor Ltd,,Collaborative R&D,700618.0,Wales,2015
46,University of Cambridge,Faculty of Education,Research Grant,457731.0,East of England,2015
47,University of Bristol,Geographical Sciences,Research Grant,242526.0,South West,2018
48,Institute of Research for Development,HydroSciences Montpellier (HSM),Research Grant,255357.0,Outside UK,2015
49,Johnson Matthey Plc,,EU-Funded,156376.0,London,2018
50,Cardiff University,Sch of Engineering,Research Grant,513015.0,Wales,2018
51,Lancaster University,Educational Research,Research Grant,288347.0,North West,2018
52,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,101032.0,Scotland,2017
53,University of York,History,Research Grant,802825.0,Yorkshire and The Humber,2014
54,University of Leeds,Law,Research Grant,405844.0,Yorkshire and The Humber,2016
55,University of East Anglia,Environmental Sciences,Research Grant,648745.0,East of England,2018
56,Maritime and Coastguard Agency,,CRD,1000028.0,South East,2018
57,University of Bristol,Social Medicine,Research Grant,323623.0,South West,2015
58,Lancaster University,Physics,Research Grant,51250.0,North West,2018
59,University of Essex,,Knowledge Transfer Partnership,100477.0,East of England,2016
60,University of Nottingham,Faculty of Engineering,Research Grant,171430.0,East Midlands,2016
61,Recycling Technologies Ltd,,Collaborative R&D,975144.0,South West,2017
62,University of Kent,Sch of Biosciences,Training Grant,95042.0,South East,2015
63,University of Oxford,Wellcome Trust Centre for Human Genetics,Research Grant,347693.0,South East,2016
64,University of Nottingham,Sch of Physics & Astronomy,Training Grant,221037.0,East Midlands,2017
65,Euriscus Limited,,Collaborative R&D,566007.0,South East,2017
66,University of St Andrews,Mathematics and Statistics,Training Grant,226300.0,Scotland,2015
67,Cardiff University,,Knowledge Transfer Partnership,151734.0,Wales,2016
68,University of Glasgow,School of Computing Science,Research Grant,4183694.0,Scotland,2016
69,University of Manchester,Research Support Services,Training Grant,6595228.0,North West,2016
70,Helia Photonics Limited,,EU-Funded,124411.0,Unknown,2018
71,Liverpool John Moores University,,CRD,213148.0,North West,2018
72,Swansea University,College of Science,Fellowship,115641.0,Wales,2018
73,King's College London,Craniofacial Dev and Stem Cell Biology,Research Grant,309100.0,London,2018
74,Aston University,Sch of Life and Health Sciences,Training Grant,95042.0,West Midlands,2015
75,University of Oxford,Weatherall Inst of Molecular Medicine,Research Grant,503126.0,South East,2015
76,University of Liverpool,Geography and Planning,Research Grant,381753.0,North West,2016
77,Lancaster University,Lancaster Environment Centre,Research Grant,154318.0,North West,2016
78,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,2738706.0,Scotland,2014
79,Nu Nano Ltd,,GRD Development of Prototype,216496.0,South West,2017
80,Nextek Limited,,Collaborative R&D,437156.0,South East,2016
81,University of Manchester,Chemistry,Research Grant,346806.0,North West,2016
82,University of Birmingham,Immunity and Infection,Research Grant,566019.0,West Midlands,2015
83,Northumbria University,Fac of Engineering and Environment,Research Grant,36304.0,North East,2014
84,Northumbria University,Fac of Engineering and Environment,Research Grant,346666.0,North East,2018
85,University of Leicester,Physics and Astronomy,Research Grant,2292308.0,East Midlands,2016
