,Provider_Name,Value,Year
0,ANGLIA RUSKIN UNIVERSITY,"39,423,355",2011
1,ASTON UNIVERSITY,"30,045,504",2011
2,UNIVERSITY OF BATH,"51,216,110",2011
3,BATH SPA UNIVERSITY,"18,343,921",2011
4,UNIVERSITY OF BEDFORDSHIRE,"31,206,398",2011
5,BIRKBECK COLLEGE,"31,672,940",2011
6,UNIVERSITY OF BIRMINGHAM,"118,745,178",2011
7,BIRMINGHAM CITY UNIVERSITY,"41,149,441",2011
8,UNIVERSITY COLLEGE BIRMINGHAM,"10,848,526",2011
9,"BISHOP GROSSETESTE UNIVERSITY COLLEGE, LINCOLN","3,938,647",2011
10,UNIVERSITY OF BOLTON,"20,928,342",2011
11,THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH,"9,081,919",2011
12,BOURNEMOUTH UNIVERSITY,"39,312,075",2011
13,UNIVERSITY OF BRADFORD,"36,100,203",2011
14,UNIVERSITY OF BRIGHTON,"51,723,312",2011
15,UNIVERSITY OF BRISTOL,"113,023,987",2011
16,BRUNEL UNIVERSITY,"47,133,262",2011
17,BUCKINGHAMSHIRE NEW UNIVERSITY,"20,854,126",2011
18,UNIVERSITY OF CAMBRIDGE,"176,421,007",2011
19,INSTITUTE OF CANCER RESEARCH,"17,635,786",2011
20,CANTERBURY CHRIST CHURCH UNIVERSITY,"27,967,550",2011
21,UNIVERSITY OF CENTRAL LANCASHIRE,"73,110,839",2011
22,CENTRAL SCHOOL OF SPEECH AND DRAMA,"4,713,956",2011
23,UNIVERSITY OF CHESTER,"26,032,867",2011
24,UNIVERSITY OF CHICHESTER,"11,404,705",2011
25,"CITY UNIVERSITY, LONDON","33,386,547",2011
26,COURTAULD INSTITUTE OF ART,"2,033,844",2011
27,COVENTRY UNIVERSITY,"54,530,645",2011
28,CRANFIELD UNIVERSITY,"24,867,602",2011
29,UNIVERSITY FOR THE CREATIVE ARTS,"20,758,439",2011
30,UNIVERSITY OF CUMBRIA,"17,291,149",2011
31,CONSERVATOIRE FOR DANCE AND DRAMA,"10,141,757",2011
32,DE MONTFORT UNIVERSITY,"55,099,833",2011
33,UNIVERSITY OF DERBY,"36,619,342",2011
34,UNIVERSITY OF DURHAM,"66,746,163",2011
35,UNIVERSITY OF EAST ANGLIA,"53,420,730",2011
36,UNIVERSITY OF EAST LONDON,"42,316,905",2011
37,EDGE HILL UNIVERSITY,"24,889,487",2011
38,INSTITUTE OF EDUCATION,"13,667,091",2011
39,UNIVERSITY OF ESSEX,"38,961,234",2011
40,UNIVERSITY OF EXETER,"63,234,085",2011
41,UNIVERSITY COLLEGE FALMOUTH,"14,435,504",2011
42,UNIVERSITY OF GLOUCESTERSHIRE,"22,331,922",2011
