Department,year,AwardPounds
ADM Birmingham Conservatoire,2016,369266.0
ADM Birmingham Conservatoire,2017,683712.0
ADM Birmingham Sch of Media,2016,34421.0
ADM Birmingham Sch of Media,2017,135478.0
ADM Birmingham Sch of Media,2018,59989.0
AONB,2015,9330.0
ATI Electronics,2013,274592.0
ATI Electronics,2014,3725791.0
ATI Electronics,2015,287061.0
ATI Electronics,2016,3362164.0
ATI Electronics,2017,8836433.0
ATI Electronics,2018,1992235.0
ATI Physics,2015,6739034.0
ATI Physics,2016,344862.0
ATI Physics,2018,80562.0
Aberdeen Business School,2016,290158.0
Accounting & Finance,2017,779426.0
Administration,2014,625716.0
Administration,2015,322680.0
Administration,2016,1745000.0
Administration,2017,845684.0
Administration,2018,2328454.0
Administration Office,2018,276000.0
Admissions and Partnership Services,2014,294488.0
Admissions and Partnership Services,2015,416764.0
Admissions and Partnership Services,2018,854467.0
Advanced Manufacturing Res Centre Boeing,2013,995080.0
Advanced Manufacturing Res Centre Boeing,2017,343857.0
Aeronautical and Automotive Engineering,2015,3266366.0
Aeronautical and Automotive Engineering,2016,1207493.0
Aeronautical and Automotive Engineering,2017,100907.0
Aeronautical and Automotive Engineering,2018,526502.0
Aerospace Engineering,2012,3926971.0
Aerospace Engineering,2014,16763935.0
Aerospace Engineering,2015,2209455.0
Aerospace Engineering,2016,549539.0
Aerospace Engineering,2017,2852777.0
Aerospace Engineering,2018,2136652.0
African Centre for Cities,2014,2006236.0
"Agriculture Health & Environment, FES",2017,556461.0
"Alcohol, Tobacco and Other Drug Research",2015,898776.0
"Alcohol, Tobacco and Other Drug Research",2018,151025.0
Alliance Manchester Business School,2017,120000.0
Alliance Manchester Business School,2018,382916.0
Anaesthesia,2017,235016.0
Analytical & Environmental Sciences,2015,490214.0
Analytical & Environmental Sciences,2017,541004.0
Analytical & Environmental Sciences,2018,523450.0
Anatomy,2018,513248.0
Anglo-Saxon Norse and Celtic,2016,340234.0
Anglo-Saxon Norse and Celtic,2017,726696.0
"Animal Production, Welfare & Vet Science",2014,372573.0
"Animal Production, Welfare & Vet Science",2018,295406.0
