ProjectCategory,year,AwardPounds
BIS-Funded Programmes,2012,10355245.0
BIS-Funded Programmes,2014,41249298.0
BIS-Funded Programmes,2015,34960434.0
BIS-Funded Programmes,2016,193058267.0
BIS-Funded Programmes,2017,188412595.0
BIS-Funded Programmes,2018,127251909.0
CR&D Bilateral,2015,44234.0
CRD,2016,350000.0
CRD,2017,118477.0
CRD,2018,796814720.0
Centres,2013,39143920.0
Centres,2014,42000000.0
Centres,2015,120415501.0
Centres,2016,346920737.0
Centres,2017,12589000.0
Centres,2018,13000000.0
Collaborative R&D,2012,1514326.0
Collaborative R&D,2014,5128849.0
Collaborative R&D,2015,118949618.0
Collaborative R&D,2016,260371251.0
Collaborative R&D,2017,511099549.0
Collaborative R&D,2018,467766633.0
EU-Funded,2015,9685985.0
EU-Funded,2016,7872664.0
EU-Funded,2017,12834408.0
EU-Funded,2018,4763103.0
Feasibility Studies,2015,5399726.0
Feasibility Studies,2016,328317.0
Feasibility Studies,2017,47940659.0
Feasibility Studies,2018,59515950.0
Fellowship,2011,4049855.0
Fellowship,2012,9023917.0
Fellowship,2013,55506529.0
Fellowship,2014,81793774.0
Fellowship,2015,100546874.0
Fellowship,2016,117501952.0
Fellowship,2017,125433153.0
Fellowship,2018,227036717.0
GRD Development of Prototype,2016,496467.0
GRD Development of Prototype,2017,466496.0
Knowledge Transfer Network,2015,52274701.0
Knowledge Transfer Network,2017,857010.0
Knowledge Transfer Network,2018,254590.0
Knowledge Transfer Partnership,2013,140446.0
Knowledge Transfer Partnership,2014,366710.0
Knowledge Transfer Partnership,2015,2648149.0
Knowledge Transfer Partnership,2016,7482096.0
Knowledge Transfer Partnership,2017,21632813.0
Knowledge Transfer Partnership,2018,25761504.0
Launchpad,2017,39125.0
Other Grant,2012,6150850.0
Other Grant,2013,12501693.0
Other Grant,2014,32107018.0
Other Grant,2015,7070245.0
Other Grant,2016,12061995.0
Other Grant,2017,40927095.0
Other Grant,2018,998965.0
Research Grant,2011,70321798.0
Research Grant,2012,140862660.0
Research Grant,2013,552684299.0
Research Grant,2014,804163628.0
Research Grant,2015,1037361626.0
Research Grant,2016,1641789349.0
Research Grant,2017,1830421622.0
Research Grant,2018,1801742133.0
Small Business Research Initiative,2013,2267635.0
Small Business Research Initiative,2016,2012314.0
Small Business Research Initiative,2017,27338039.0
Small Business Research Initiative,2018,17804171.0
Study,2014,4500000.0
Study,2018,502329.0
Training Grant,2011,275296110.0
Training Grant,2012,17626688.0
Training Grant,2013,19951096.0
Training Grant,2014,644758105.0
Training Grant,2015,292762958.0
Training Grant,2016,213834093.0
Training Grant,2017,183452743.0
Training Grant,2018,254954384.0
