,Institution,Year,Purpose,Region,Value
0,1LIFEMANAGEMENTSOLUTIONS,2014,EDUCATION,UNKNOWN,131554
1,1STCARETRAINING,2016,EDUCATION,UNKNOWN,8627
2,2020POWERGENERATION,2016,RESEARCH,SOUTH EAST,1597330
3,3SUNGROUP,2014,BUSINESS,UNKNOWN,10000000
4,4TITUDE,2016,EDUCATION,SOUTH EAST,144475
5,5E,2012,EDUCATION,UNKNOWN,1992857
6,5E,2013,EDUCATION,UNKNOWN,1333036
7,5E,2014,EDUCATION,UNKNOWN,1286076
8,5E,2015,EDUCATION,UNKNOWN,1986272
9,5E,2016,EDUCATION,UNKNOWN,1428066
10,A4E,2012,EDUCATION,UNKNOWN,7396380
11,A4E,2013,EDUCATION,UNKNOWN,7782912
12,A4E,2014,EDUCATION,UNKNOWN,23265225
13,A4E,2015,EDUCATION,UNKNOWN,1928817
14,ABACUS,2013,BUSINESS,UNKNOWN,4150000
15,ABATRAINING,2012,EDUCATION,UNKNOWN,8064
16,ABATRAINING,2013,EDUCATION,UNKNOWN,74853
17,ABATRAINING,2014,EDUCATION,UNKNOWN,11623
18,ABERYSTWYTHUNIVERSITY,2013,RESEARCH,WALES,162543
19,ABERYSTWYTHUNIVERSITY,2014,RESEARCH,WALES,2529804
20,ABERYSTWYTHUNIVERSITY,2015,RESEARCH,WALES,1401705
21,ABERYSTWYTHUNIVERSITY,2016,RESEARCH,WALES,1096820
22,ABINGDONANDWITNEYCOLLEGE,2012,EDUCATION,UNKNOWN,3422745
23,ABINGDONANDWITNEYCOLLEGE,2013,EDUCATION,UNKNOWN,3064605
24,ABINGDONANDWITNEYCOLLEGE,2013,RESEARCH,UNKNOWN,18764
25,ABINGDONANDWITNEYCOLLEGE,2014,EDUCATION,UNKNOWN,2867559
26,ABINGDONANDWITNEYCOLLEGE,2015,EDUCATION,UNKNOWN,5971497
27,ABINGDONANDWITNEYCOLLEGE,2016,EDUCATION,UNKNOWN,7932297
28,ABISRESOURCES,2014,EDUCATION,UNKNOWN,17449
29,ABISRESOURCES,2015,EDUCATION,UNKNOWN,83374
30,ABOVEBARCOLLEGE,2012,EDUCATION,UNKNOWN,539013
31,ABSOLUTECARETRAININGEDUCATION,2016,EDUCATION,UNKNOWN,50029
32,ACACIATRAINING,2012,EDUCATION,UNKNOWN,2272933
33,ACACIATRAINING,2013,EDUCATION,UNKNOWN,3714620
34,ACACIATRAINING,2014,EDUCATION,UNKNOWN,3564637
35,ACACIATRAINING,2015,EDUCATION,UNKNOWN,3803681
36,ACACIATRAINING,2016,EDUCATION,UNKNOWN,2479761
37,ACACIATRAININGANDDEVELOPMENT,2012,EDUCATION,UNKNOWN,3033566
38,ACACIATRAININGANDDEVELOPMENT,2013,EDUCATION,UNKNOWN,3713470
39,ACACIATRAININGANDDEVELOPMENT,2014,EDUCATION,UNKNOWN,3479438
40,ACACIATRAININGANDDEVELOPMENT,2015,EDUCATION,UNKNOWN,2923345
41,ACACIATRAININGANDDEVELOPMENT,2016,EDUCATION,UNKNOWN,1883550
42,ACADEMIESENTERPRISETRUST,2012,EDUCATION,UNKNOWN,30204
43,ACADEMIESENTERPRISETRUST,2013,EDUCATION,UNKNOWN,114367
44,ACADEMIESENTERPRISETRUST,2014,EDUCATION,UNKNOWN,92982
45,ACADEMIESENTERPRISETRUST,2015,EDUCATION,UNKNOWN,101638
46,ACADEMIESENTERPRISETRUST,2016,EDUCATION,UNKNOWN,100878
47,ACADEMYEDUCATION,2012,EDUCATION,UNKNOWN,603573
48,ACADEMYEDUCATION,2013,EDUCATION,UNKNOWN,778801
49,ACADEMYEDUCATION,2014,EDUCATION,UNKNOWN,928164
50,ACADEMYEDUCATION,2015,EDUCATION,UNKNOWN,822737
51,ACADEMYEDUCATION,2016,EDUCATION,UNKNOWN,548661
52,ACADEMYTRAININGGROUP,2014,EDUCATION,UNKNOWN,134926
53,ACADEMYTRAININGGROUP,2015,EDUCATION,UNKNOWN,239973
54,ACADEMYTRANSFORMATIONTRUST,2013,EDUCATION,UNKNOWN,1028872
55,ACADEMYTRANSFORMATIONTRUST,2014,EDUCATION,UNKNOWN,893077
56,ACADEMYTRANSFORMATIONTRUST,2015,EDUCATION,UNKNOWN,1009143
57,ACADEMYTRANSFORMATIONTRUST,2016,EDUCATION,UNKNOWN,846226
58,ACCENTUREUK,2012,EDUCATION,UNKNOWN,7343
59,ACCESSSKILLS,2016,EDUCATION,UNKNOWN,502451
60,ACCESSTOMUSIC,2012,EDUCATION,UNKNOWN,2799771
61,ACCESSTOMUSIC,2014,EDUCATION,UNKNOWN,1849320
62,ACCESSTOMUSIC,2015,EDUCATION,UNKNOWN,1226573
63,ACCESSTOMUSIC,2016,EDUCATION,UNKNOWN,1067222
64,ACCESSTRAINING,2012,EDUCATION,UNKNOWN,1951316
65,ACCESSTRAINING,2013,EDUCATION,UNKNOWN,2370969
66,ACCESSTRAINING,2014,EDUCATION,UNKNOWN,2144500
67,ACCESSTRAINING,2015,EDUCATION,UNKNOWN,2169204
68,ACCESSTRAINING,2016,EDUCATION,UNKNOWN,1532147
69,ACCESSTRAININGEASTMIDLANDS,2012,EDUCATION,UNKNOWN,1129240
70,ACCESSTRAININGEASTMIDLANDS,2013,EDUCATION,UNKNOWN,1532491
71,ACCESSTRAININGEASTMIDLANDS,2014,EDUCATION,UNKNOWN,1412543
72,ACCESSTRAININGEASTMIDLANDS,2015,EDUCATION,UNKNOWN,1919624
73,ACCESSTRAININGEASTMIDLANDS,2016,EDUCATION,UNKNOWN,1276996
74,ACCRINGTONANDROSSENDALECOLLEGE,2012,EDUCATION,UNKNOWN,7853851
75,ACCRINGTONANDROSSENDALECOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,879148
76,ACCRINGTONANDROSSENDALECOLLEGE,2013,EDUCATION,UNKNOWN,6894370
77,ACCRINGTONANDROSSENDALECOLLEGE,2013,RESEARCH,UNKNOWN,398580
78,ACCRINGTONANDROSSENDALECOLLEGE,2014,EDUCATION,UNKNOWN,5900300
79,ACCRINGTONANDROSSENDALECOLLEGE,2015,EDUCATION,UNKNOWN,5694009
80,ACCRINGTONANDROSSENDALECOLLEGE,2016,EDUCATION,UNKNOWN,4999005
81,ACHIEVEMENTTRAINING,2012,EDUCATION,UNKNOWN,1978117
82,ACHIEVEMENTTRAINING,2013,EDUCATION,UNKNOWN,2536676
83,ACHIEVEMENTTRAINING,2014,EDUCATION,UNKNOWN,2380149
84,ACHIEVEMENTTRAINING,2015,EDUCATION,UNKNOWN,2153488
85,ACHIEVEMENTTRAINING,2016,EDUCATION,UNKNOWN,1750727
86,ACHIEVETHROUGHLEARNING,2012,EDUCATION,UNKNOWN,1767010
87,ACHIEVETHROUGHLEARNING,2013,EDUCATION,UNKNOWN,2938479
88,ACHIEVETHROUGHLEARNING,2014,EDUCATION,UNKNOWN,2851462
89,ACHIEVETHROUGHLEARNING,2015,EDUCATION,UNKNOWN,2481086
90,ACHIEVETHROUGHLEARNING,2016,EDUCATION,UNKNOWN,1262234
91,ACRO,2015,BUSINESS,UNKNOWN,7800000
92,ACSCLOTHING,2014,BUSINESS,UNKNOWN,25299999
93,ACTBLADE,2016,RESEARCH,SCOTLAND,1028632
94,ACTIV8LEARNING,2014,EDUCATION,UNKNOWN,150
95,ACTIV8LEARNING,2015,EDUCATION,UNKNOWN,490
96,ACTIVATELEARNING,2012,EDUCATION,UNKNOWN,23255
97,ACTIVATELEARNING,2012,KNOWLEDGE EXCHANGE,UNKNOWN,23255
98,ACTIVATELEARNING,2013,EDUCATION,UNKNOWN,15054857
99,ACTIVATELEARNING,2013,RESEARCH,UNKNOWN,61852
100,ACTIVATELEARNING,2014,EDUCATION,UNKNOWN,12806605
101,ACTIVATELEARNING,2015,EDUCATION,UNKNOWN,10941623
102,ACTIVATELEARNING,2016,EDUCATION,UNKNOWN,9539533
103,ACTONTRAININGCENTRE,2012,EDUCATION,UNKNOWN,518134
104,ADDISABABAUNIVERSITY,2015,RESEARCH,OUTSIDE UK,301668
105,ADEPT4PLC,2016,BUSINESS,UNKNOWN,5000000
106,ADEPTTELECOM,2016,BUSINESS,UNKNOWN,9000000
107,ADESTRA,2016,BUSINESS,UNKNOWN,5699999
108,ADVANCEDINNOVATIVEENGINEERINGUK,2015,RESEARCH,WEST MIDLANDS,529477
109,ADVANCEDPERSONNELMANAGEMENTGROUPUK,2014,EDUCATION,UNKNOWN,1448325
110,ADVANCEDPERSONNELMANAGEMENTGROUPUK,2016,EDUCATION,UNKNOWN,944463
111,AFIMILK,2015,RESEARCH,SCOTLAND,838312
112,AGAKHANUNIVERSITY,2014,RESEARCH,OUTSIDE UK,839934
113,AGETRADING,2012,EDUCATION,UNKNOWN,6559248
114,AGETRADING,2013,EDUCATION,UNKNOWN,8715960
115,AGETRADINGCIC,2014,EDUCATION,UNKNOWN,8773864
116,AGETRADINGCIC,2015,EDUCATION,UNKNOWN,4319369
117,AGILISYS,2012,EDUCATION,UNKNOWN,362678
118,AGILISYS,2013,EDUCATION,UNKNOWN,771600
119,AGILISYS,2014,EDUCATION,UNKNOWN,1962915
120,AGMBATTERIES,2016,RESEARCH,LONDON,2700928
121,AGRIEPICENTRE,2016,RESEARCH,EAST OF ENGLAND,17785517
122,AGRIMETRICS,2015,RESEARCH,WEST MIDLANDS,11780000
123,AGROCEUTICALPRODUCTS,2015,RESEARCH,WEST MIDLANDS,402163
124,AIRBUSDEFENCEANDSPACE,2016,BUSINESS,EAST OF ENGLAND,3644386
125,AIRBUSGROUP,2014,BUSINESS,LONDON,1678305
126,AIRBUSHELICOPTERS,2015,RESEARCH,SOUTH EAST,1012001
127,AIRBUSOPERATIONS,2014,BUSINESS,SOUTH WEST,19959021
128,AIRBUSOPERATIONS,2015,BUSINESS,SOUTH WEST,19055757
129,AIRBUSOPERATIONS,2016,BUSINESS,SOUTH WEST,18412442
130,ALBERTLUDWIGSUNIVERSITYFREIBURG,2016,RESEARCH,OUTSIDE UK,89180
131,ALDERTRAINING,2012,EDUCATION,UNKNOWN,2458505
132,ALDERTRAINING,2013,EDUCATION,UNKNOWN,3825594
133,ALDERTRAINING,2014,EDUCATION,UNKNOWN,3002897
134,ALDERTRAINING,2015,EDUCATION,UNKNOWN,2976834
135,ALDERTRAINING,2016,EDUCATION,UNKNOWN,1821374
136,ALLIANCELEARNING,2012,EDUCATION,UNKNOWN,1405568
137,ALLIANCELEARNING,2013,EDUCATION,UNKNOWN,1972453
138,ALLIANCELEARNING,2014,EDUCATION,UNKNOWN,2002074
139,ALLIANCELEARNING,2015,EDUCATION,UNKNOWN,2154752
140,ALLIANCELEARNING,2016,EDUCATION,UNKNOWN,1629060
141,ALLIEDHEALTHCARE,2012,EDUCATION,UNKNOWN,270438
142,ALLOTROPEENERGY,2016,RESEARCH,NORTH WEST,118761
143,ALLTRADESTRAINING,2012,EDUCATION,UNKNOWN,28683
144,ALLTRADESTRAINING,2013,EDUCATION,UNKNOWN,165910
145,ALLTRADESTRAINING,2014,EDUCATION,UNKNOWN,213588
146,ALLTRADESTRAINING,2015,EDUCATION,UNKNOWN,289913
147,ALLTRADESTRAINING,2016,EDUCATION,UNKNOWN,351791
148,ALMACDIAGNOSTICS,2013,BUSINESS,NORTHERN IRELAND,2267635
