Value,Year,ProviderType,Purpose,ProviderName
10875,2012,COMPANY,EDUCATION,5 E LTD
1981982,2012,COMPANY,EDUCATION,5 E LTD
198971,2012,COMPANY,EDUCATION,A4E LTD
7197409,2012,COMPANY,EDUCATION,A4E LTD
8064,2012,COMPANY,EDUCATION,ABA TRAINING LTD
28409,2012,COLLEGE,EDUCATION,ABINGDON AND WITNEY COLLEGE
239224,2012,COLLEGE,EDUCATION,ABINGDON AND WITNEY COLLEGE
3155112,2012,COLLEGE,EDUCATION,ABINGDON AND WITNEY COLLEGE
64233,2012,COLLEGE,EDUCATION,ABOVE BAR COLLEGE
474780,2012,COLLEGE,EDUCATION,ABOVE BAR COLLEGE
647267,2012,COMPANY,EDUCATION,ACACIA TRAINING AND DEVELOPMENT LTD
2386299,2012,COMPANY,EDUCATION,ACACIA TRAINING AND DEVELOPMENT LTD
144202,2012,COMPANY,EDUCATION,ACACIA TRAINING LIMITED
2128731,2012,COMPANY,EDUCATION,ACACIA TRAINING LIMITED
11013,2012,COMPANY,EDUCATION,ACADEMIES ENTERPRISE TRUST
19191,2012,COMPANY,EDUCATION,ACADEMIES ENTERPRISE TRUST
118020,2012,COMPANY,EDUCATION,ACADEMY EDUCATION LIMITED
485553,2012,COMPANY,EDUCATION,ACADEMY EDUCATION LIMITED
7343,2012,COMPANY,EDUCATION,ACCENTURE (UK) LIMITED
272852,2012,COMPANY,EDUCATION,ACCESS TO MUSIC
2526919,2012,COMPANY,EDUCATION,ACCESS TO MUSIC
495397,2012,COMPANY,EDUCATION,ACCESS TRAINING (EAST MIDLANDS) LTD
633843,2012,COMPANY,EDUCATION,ACCESS TRAINING (EAST MIDLANDS) LTD
495517,2012,COMPANY,EDUCATION,ACCESS TRAINING LIMITED
1455799,2012,COMPANY,EDUCATION,ACCESS TRAINING LIMITED
852821,2012,COLLEGE,EDUCATION,ACCRINGTON AND ROSSENDALE COLLEGE
6121882,2012,COLLEGE,EDUCATION,ACCRINGTON AND ROSSENDALE COLLEGE
1767010,2012,COMPANY,EDUCATION,ACHIEVE THROUGH LEARNING LIMITED
336849,2012,COMPANY,EDUCATION,ACHIEVEMENT TRAINING LIMITED
1641268,2012,COMPANY,EDUCATION,ACHIEVEMENT TRAINING LIMITED
105777,2012,COMPANY,EDUCATION,ACTON TRAINING CENTRE LIMITED
412357,2012,COMPANY,EDUCATION,ACTON TRAINING CENTRE LIMITED
1511022,2012,COMPANY,EDUCATION,AGE UK TRADING LTD
5048226,2012,COMPANY,EDUCATION,AGE UK TRADING LTD
11486,2012,COMPANY,EDUCATION,AGILISYS LTD
351192,2012,COMPANY,EDUCATION,AGILISYS LTD
698843,2012,COMPANY,EDUCATION,ALDER TRAINING LIMITED
1759662,2012,COMPANY,EDUCATION,ALDER TRAINING LIMITED
28683,2012,COMPANY,EDUCATION,ALL TRADES TRAINING LIMITED
559370,2012,COMPANY,EDUCATION,ALLIANCE LEARNING LTD
846198,2012,COMPANY,EDUCATION,ALLIANCE LEARNING LTD
270438,2012,COMPANY,EDUCATION,ALLIED HEALTHCARE
13764,2012,COMPANY,EDUCATION,ALPHA BUILDING SERVICES ENGINEERING LTD
231221,2012,COMPANY,EDUCATION,ALPHA BUILDING SERVICES ENGINEERING LTD
368949,2012,COLLEGE,EDUCATION,ALTON COLLEGE
6055,2012,COMPANY,EDUCATION,ALTVALLEY COMMUNITY TRUST
3873,2012,COLLEGE,EDUCATION,AMERSHAM AND WYCOMBE COLLEGE
208824,2012,COLLEGE,EDUCATION,AMERSHAM AND WYCOMBE COLLEGE
4201126,2012,COLLEGE,EDUCATION,AMERSHAM AND WYCOMBE COLLEGE
23025,2012,COMPANY,EDUCATION,ANDERSON STOCKLEY ACCREDITED TRAINING
37360,2012,COMPANY,EDUCATION,ANDREW COLLINGE TRAINING LTD
648207,2012,COMPANY,EDUCATION,ANDREW COLLINGE TRAINING LTD
156116,2012,COMPANY,EDUCATION,ANNE CLARKE ASSOCIATES LIMITED
2516062,2012,COMPANY,EDUCATION,ANNE CLARKE ASSOCIATES LIMITED
112972,2012,COMPANY,EDUCATION,APPRENTICE FUNDING ASSISTANT LTD
433144,2012,COMPANY,EDUCATION,APPRENTICESHIPS AND TRAINING SERVICES CONSORTIUM LIMITED
498564,2012,COMPANY,EDUCATION,APPRENTICESHIPS AND TRAINING SERVICES CONSORTIUM LIMITED
180429,2012,COMPANY,EDUCATION,APPRIS CHARITY LIMITED
893710,2012,COMPANY,EDUCATION,APPRIS CHARITY LIMITED
113676,2012,COLLEGE,EDUCATION,AQUINAS COLLEGE
337180,2012,COMPANY,EDUCATION,ARCANUM SOLUTIONS LTD (P4 CONSULTING LTD)
302106,2012,COLLEGE,EDUCATION,ASHTON UNDER LYNE SIXTH FORM COLLEGE
296169,2012,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
1017813,2012,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
3266988,2012,COLLEGE,EDUCATION,ASKHAM BRYAN COLLEGE
118529,2012,COMPANY,EDUCATION,ASPIRE ACHIEVE ADVANCE LIMITED
271571,2012,COMPANY,EDUCATION,ASPIRE ACHIEVE ADVANCE LIMITED
243194,2012,COMPANY,EDUCATION,ASPIRE TRAINING TEAM LIMITED
415604,2012,COMPANY,EDUCATION,ASPIRE TRAINING TEAM LIMITED
663341,2012,COMPANY,EDUCATION,ASSET TRAINING AND CONSULTANCY LIMITED
3196241,2012,COMPANY,EDUCATION,ASSET TRAINING AND CONSULTANCY LIMITED
55837,2012,COMPANY,EDUCATION,ASTUTE MINDS LTD
64097,2012,COMPANY,EDUCATION,AURELIA TRAINING LTD
606581,2012,COMPANY,EDUCATION,AURELIA TRAINING LTD
522138,2012,COMPANY,EDUCATION,AVANT PARTNERSHIP LIMITED
943953,2012,COMPANY,EDUCATION,AVANT PARTNERSHIP LIMITED
232996,2012,COMPANY,EDUCATION,AVANTA ENTERPRISE LIMITED
6662401,2012,COMPANY,EDUCATION,AVANTA ENTERPRISE LIMITED
93294,2012,COMPANY,EDUCATION,AWE PLC
328087,2012,COMPANY,EDUCATION,AWE PLC
306238,2012,COMPANY,EDUCATION,AXIA SOLUTIONS LIMITED
722259,2012,COMPANY,EDUCATION,AXIA SOLUTIONS LIMITED
882251,2012,COLLEGE,EDUCATION,AYLESBURY COLLEGE
2924405,2012,COLLEGE,EDUCATION,AYLESBURY COLLEGE
1129444,2012,COMPANY,EDUCATION,B2B ENGAGE LTD
1213616,2012,COMPANY,EDUCATION,B2B ENGAGE LTD
431336,2012,COMPANY,EDUCATION,BABCOCK SKILLS AND DEVELOPMENT TRAINING
1546166,2012,COMPANY,EDUCATION,BABCOCK SKILLS AND DEVELOPMENT TRAINING
8996938,2012,COMPANY,EDUCATION,BABCOCK TRAINING LIMITED
28167229,2012,COMPANY,EDUCATION,BABCOCK TRAINING LIMITED
1844325,2012,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
2297700,2012,COLLEGE,EDUCATION,BABINGTON BUSINESS COLLEGE LIMITED
334384,2012,COMPANY,EDUCATION,BAE SYSTEMS PLC
1742316,2012,COMPANY,EDUCATION,BAE SYSTEMS PLC
523993,2012,COMPANY,EDUCATION,BALDWIN TRAINING LIMITED
737898,2012,COMPANY,EDUCATION,BALDWIN TRAINING LIMITED
1462593,2012,COMPANY,EDUCATION,BALTIC TRAINING SERVICES LIMITED
2325509,2012,COMPANY,EDUCATION,BALTIC TRAINING SERVICES LIMITED
6082,2012,COMPANY,EDUCATION,BANDQ PLC
19995,2012,COMPANY,EDUCATION,BANDQ PLC
550194,2012,COMPANY,EDUCATION,BARCHESTER HEALTHCARE
723197,2012,COMPANY,EDUCATION,BARCHESTER HEALTHCARE
1137113,2012,COMPANY,EDUCATION,BARFORD EDUCATION AND TRAINING (XR)
1249948,2012,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
10581441,2012,COLLEGE,EDUCATION,BARKING AND DAGENHAM COLLEGE
257911,2012,COMPANY,EDUCATION,BARNARDOS
300709,2012,COMPANY,EDUCATION,BARNARDOS
242046,2012,COLLEGE,EDUCATION,BARNET AND SOUTHGATE COLLEGE
500492,2012,COLLEGE,EDUCATION,BARNET AND SOUTHGATE COLLEGE
21699453,2012,COLLEGE,EDUCATION,BARNET AND SOUTHGATE COLLEGE
199572,2012,COLLEGE,EDUCATION,BARNFIELD COLLEGE
635938,2012,COLLEGE,EDUCATION,BARNFIELD COLLEGE
7554457,2012,COLLEGE,EDUCATION,BARNFIELD COLLEGE
1183483,2012,COMPANY,EDUCATION,BARNSLEY METROPOLITAN BOROUGH COUNCIL
1210608,2012,COMPANY,EDUCATION,BARNSLEY METROPOLITAN BOROUGH COUNCIL
197447,2012,COLLEGE,EDUCATION,BARROW IN FURNESS SIXTH FORM COLLEGE
431262,2012,COLLEGE,EDUCATION,BARTON PEVERIL COLLEGE
49194,2012,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
926634,2012,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
5009378,2012,COLLEGE,EDUCATION,BASINGSTOKE COLLEGE OF TECHNOLOGY
282118,2012,COMPANY,EDUCATION,BASINGSTOKE YOUTH ACTION TRUST LIMITED
345619,2012,COMPANY,EDUCATION,BASINGSTOKE YOUTH ACTION TRUST LIMITED
589550,2012,COMPANY,EDUCATION,BECKETT CORPORATION LTD
90357,2012,COLLEGE,EDUCATION,BEDFORD COLLEGE
1606512,2012,COLLEGE,EDUCATION,BEDFORD COLLEGE
8627654,2012,COLLEGE,EDUCATION,BEDFORD COLLEGE
5020,2012,COLLEGE,EDUCATION,BERKSHIRE COLLEGE OF AGRICULTURE
9829,2012,COLLEGE,EDUCATION,BERKSHIRE COLLEGE OF AGRICULTURE
1205735,2012,COLLEGE,EDUCATION,BERKSHIRE COLLEGE OF AGRICULTURE
34596,2012,COMPANY,EDUCATION,BESTLAND SOLUTIONS LIMITED
26970,2012,COLLEGE,EDUCATION,BEXHILL COLLEGE
280856,2012,COLLEGE,EDUCATION,BEXHILL COLLEGE
520104,2012,COLLEGE,EDUCATION,BEXLEY COLLEGE
3455686,2012,COLLEGE,EDUCATION,BEXLEY COLLEGE
298466,2012,COMPANY,EDUCATION,BEXLEY YOUTH TRAINING GROUP
1105109,2012,COMPANY,EDUCATION,BEXLEY YOUTH TRAINING GROUP
166352,2012,COMPANY,EDUCATION,BHS LTD
887458,2012,COMPANY,EDUCATION,BHS LTD
21081,2012,COLLEGE,EDUCATION,BICTON COLLEGE
482630,2012,COLLEGE,EDUCATION,BICTON COLLEGE
1323244,2012,COLLEGE,EDUCATION,BICTON COLLEGE
324060,2012,COLLEGE,EDUCATION,BIRKENHEAD SIXTH FORM COLLEGE
5405211,2012,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
6625055,2012,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
180643,2012,UNIVERSITY,EDUCATION,BIRMINGHAM CITY UNIVERSITY
91143,2012,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
359082,2012,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
247546,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
4377079,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
30251885,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
156578,2012,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
