LeadROName,ProjectCategory,year,AwardPounds
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED",RESEARCH,2018,56325
2 DEGREES LIMITED,RESEARCH,2018,78076
2020 POWER GENERATION LIMITED,RESEARCH,2016,1597330
23 LIMITED,RESEARCH,2018,52447
2D HEAT LIMITED,RESEARCH,2017,172740
3D ENGINEERING DESIGN LIMITED,RESEARCH,2017,287396
3F BIO LTD,RESEARCH,2017,69625
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RESEARCH,2018,395176
42 TECHNOLOGY LIMITED,BUSINESS,2018,349590
4TITUDE LIMITED,EDUCATION,2016,144475
5D HEALTH PROTECTION GROUP LTD,RESEARCH,2018,365227
A.M. PACKAGING LIMITED,RESEARCH,2018,145191
A.M. PACKAGING LIMITED,RESEARCH,2017,228350
A.T.KEARNEY LIMITED,RESEARCH,2016,3821671
A.T.KEARNEY LIMITED,RESEARCH,2018,3892619
ABERYSTWYTH UNIVERSITY,EDUCATION,2018,94978
ABERYSTWYTH UNIVERSITY,BUSINESS,2018,116079
ABERYSTWYTH UNIVERSITY,RESEARCH,2013,162543
ABERYSTWYTH UNIVERSITY,RESEARCH,2014,2436284
ABERYSTWYTH UNIVERSITY,RESEARCH,2015,1044324
ABERYSTWYTH UNIVERSITY,RESEARCH,2016,1001778
ABERYSTWYTH UNIVERSITY,RESEARCH,2017,3035541
ABERYSTWYTH UNIVERSITY,RESEARCH,2018,3343067
ABERYSTWYTH UNIVERSITY,RESEARCH,2014,93520
ABERYSTWYTH UNIVERSITY,RESEARCH,2015,357381
ABERYSTWYTH UNIVERSITY,RESEARCH,2016,95042
ABERYSTWYTH UNIVERSITY,RESEARCH,2017,74539
ABERYSTWYTH UNIVERSITY,RESEARCH,2018,150664
ABINGDON HEALTH LTD,RESEARCH,2018,633445
ABLATUS THERAPEUTICS LIMITED,RESEARCH,2017,443931
ABRIACHAN FOREST TRUST,RESEARCH,2018,14970
ABSOLUTE ANTIBODY LIMITED,EDUCATION,2017,161505
ABSTRUSE 3D LIMITED,RESEARCH,2018,68747
ACCELERCOMM LTD,RESEARCH,2018,178125
ACCUNEA LTD.,RESEARCH,2018,77012
ACCURX LIMITED,RESEARCH,2017,398735
ACCURX LIMITED,RESEARCH,2018,697772
ACT BLADE LIMITED,RESEARCH,2016,1028632
ACT BLADE LIMITED,RESEARCH,2017,1021267
ACTIVE NEEDLE TECHNOLOGY LTD,RESEARCH,2018,131754
ADAPTIX LIMITED,RESEARCH,2018,601300
ADAPTIX LIMITED,RESEARCH,2018,92532
ADDED SCIENTIFIC LIMITED,RESEARCH,2017,119886
ADDED SCIENTIFIC LIMITED,RESEARCH,2018,45615
ADDIS ABABA UNIVERSITY,RESEARCH,2015,301668
