,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,Region
0,STFC,Durham University,Physics,Training Grant,01/10/2017,30/09/2021,735070.0,North East
2,ESRC,University of Warwick,Politics and International Studies,Research Grant,15/06/2018,14/06/2019,7027.0,West Midlands
3,BBSRC,University of Nottingham,School of Life Sciences,Research Grant,01/08/2018,31/07/2021,495279.0,East Midlands
4,BBSRC,University of York,Biology,Research Grant,01/01/2014,31/12/2019,3141753.0,Yorkshire and The Humber
5,BBSRC,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,01/10/2017,30/09/2019,219317.0,London
9,AHRC,University of the Arts London,Central Saint Martin's College,Research Grant,15/01/2017,31/08/2019,299280.0,London
12,Innovate UK,Trak-Rap Limited,,Collaborative R&D,01/09/2017,28/02/2019,381564.0,Yorkshire and The Humber
14,EPSRC,University of Bristol,Mathematics,Research Grant,01/08/2018,31/08/2020,120934.0,South West
18,BBSRC,University of Strathclyde,Inst of Pharmacy and Biomedical Sci,Training Grant,01/10/2018,30/09/2022,99034.0,Scotland
21,MRC,University of Oxford,Psychiatry,Research Grant,01/07/2017,31/10/2020,767454.0,South East
22,BBSRC,University of Oxford,Zoology,Training Grant,01/10/2017,30/09/2021,98212.0,South East
24,ESRC,Institute for Fiscal Studies,IFS Research Team,Research Grant,01/10/2014,30/09/2019,279490.0,London
25,EPSRC,University of Oxford,Oxford Chemistry,Research Grant,01/10/2015,31/03/2019,364579.0,South East
26,Innovate UK,Future Transport Systems Ltd,,Collaborative R&D,01/10/2017,31/03/2019,890384.0,West Midlands
31,EPSRC,University of Leeds,Sch of Computing,Research Grant,01/04/2018,30/09/2020,303126.0,Yorkshire and The Humber
32,BBSRC,Imperial College London,Dept of Bioengineering,Research Grant,22/01/2018,21/01/2021,541821.0,London
33,BBSRC,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,28/09/2016,27/09/2019,417933.0,London
34,MRC,University of Cambridge,Veterinary Medicine,Research Grant,01/07/2016,30/06/2019,552508.0,East of England
35,Innovate UK,Queen's University of Belfast,,Knowledge Transfer Partnership,01/11/2018,31/10/2020,97894.0,Northern Ireland
37,ESRC,University of Essex,Economics,Research Grant,17/10/2016,16/10/2019,220953.0,East of England
39,BBSRC,University of Reading,Food and Nutritional Sciences,Research Grant,31/03/2014,30/03/2019,595040.0,South East
40,EPSRC,Imperial College London,Earth Science and Engineering,Research Grant,01/05/2017,30/04/2019,490886.0,London
42,Innovate UK,Serelay Limited,,Feasibility Studies,01/03/2018,28/02/2019,209758.0,Unknown
44,STFC,University of Cambridge,Physics,Research Grant,01/10/2018,31/03/2020,14500.0,East of England
52,EPSRC,University of Oxford,Mathematical Institute,Research Grant,01/10/2017,28/02/2021,595108.0,South East
56,EPSRC,University of Bristol,Physics,Training Grant,01/04/2014,30/09/2023,4554507.0,South West
57,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,23/01/2014,22/01/2024,2555641.0,East Midlands
58,EPSRC,University of Hertfordshire,Science and Technology RI,Research Grant,17/03/2017,16/03/2019,578050.0,East of England
59,BBSRC,University of Zurich,Institute of Plant Biology,Research Grant,01/06/2018,31/05/2021,151135.0,Outside UK
61,AHRC,University of Sussex,"Sch of Media, Film and Music",Research Grant,01/01/2018,31/03/2019,80087.0,South East
66,EPSRC,University of Nottingham,Sch of Pharmacy,Research Grant,01/05/2017,25/06/2020,293993.0,East Midlands
67,MRC,University of Nottingham,School of Medicine,Research Grant,03/04/2017,02/04/2020,438477.0,East Midlands
68,Innovate UK,Croda Europe Limited,,EU-Funded,01/05/2016,30/04/2019,65217.0,Yorkshire and The Humber
69,BBSRC,John Innes Centre,Crop Genetics,Research Grant,01/08/2018,31/07/2021,509629.0,East of England
71,EPSRC,University of Bristol,Engineering Mathematics,Research Grant,01/10/2016,31/03/2020,307644.0,South West
75,BBSRC,National Inst of Agricultural Botany,Centre for Research,Research Grant,01/02/2016,31/03/2019,358962.0,East of England
78,EPSRC,University of Nottingham,Faculty of Engineering,Research Grant,01/12/2017,30/11/2020,254069.0,East Midlands
79,NERC,University of KwaZulu-Natal,Faculty of Engineering,Research Grant,01/07/2015,31/12/2019,208763.0,Outside UK
81,NERC,NERC British Geological Survey,NERC Isotope Geosciences Laboratory,Research Grant,01/05/2017,30/04/2022,138079.0,East Midlands
82,EPSRC,University of Edinburgh,Sch of Mathematics,Research Grant,12/09/2016,22/09/2018,157625.0,Scotland
84,NERC,University of Reading,Meteorology,Research Grant,01/06/2013,30/11/2019,1320802.0,South East
85,NERC,University of Southampton,Sch of Biological Sciences,Research Grant,30/06/2015,29/06/2020,298189.0,South East
88,EPSRC,University of Birmingham,Vice Chancellors Office,Research Grant,01/11/2018,31/10/2020,531286.0,West Midlands
91,EPSRC,University of York,Computer Science,Research Grant,01/09/2015,31/08/2020,1766824.0,Yorkshire and The Humber
92,EPSRC,Imperial College London,Dept of Mathematics,Research Grant,01/06/2016,31/08/2019,773844.0,London
93,Innovate UK,Naturiol Bangor Ltd,,Collaborative R&D,01/04/2015,30/09/2018,700618.0,Wales
94,ESRC,University of Cambridge,Faculty of Education,Research Grant,01/07/2015,31/12/2018,457731.0,East of England
95,NERC,University of Bristol,Geographical Sciences,Research Grant,01/01/2018,31/12/2020,242526.0,South West
96,NERC,Institute of Research for Development,HydroSciences Montpellier (HSM),Research Grant,01/08/2015,31/07/2019,255357.0,Outside UK
97,Innovate UK,Johnson Matthey Plc,,EU-Funded,01/02/2018,31/01/2021,156376.0,London
98,EPSRC,Cardiff University,Sch of Engineering,Research Grant,01/01/2018,31/07/2019,513015.0,Wales
102,ESRC,Lancaster University,Educational Research,Research Grant,01/09/2018,31/10/2020,288347.0,North West
103,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/06/2017,30/11/2018,101032.0,Scotland
104,AHRC,University of York,History,Research Grant,01/05/2014,30/04/2019,802825.0,Yorkshire and The Humber
105,ESRC,University of Leeds,Law,Research Grant,12/08/2016,31/10/2019,405844.0,Yorkshire and The Humber
106,NERC,University of East Anglia,Environmental Sciences,Research Grant,01/01/2018,31/12/2020,648745.0,East of England
107,Innovate UK,Maritime and Coastguard Agency,,CRD,01/11/2018,30/04/2020,1000028.0,South East
109,MRC,University of Bristol,Social Medicine,Research Grant,01/01/2015,30/09/2018,323623.0,South West
113,STFC,Lancaster University,Physics,Research Grant,01/10/2018,31/03/2019,51250.0,North West
114,Innovate UK,University of Essex,,Knowledge Transfer Partnership,01/10/2016,30/09/2019,100477.0,East of England
115,EPSRC,University of Nottingham,Faculty of Engineering,Research Grant,01/02/2016,30/04/2019,171430.0,East Midlands
116,Innovate UK,Recycling Technologies Ltd,,Collaborative R&D,01/10/2017,31/03/2019,975144.0,South West
117,BBSRC,University of Kent,Sch of Biosciences,Training Grant,01/10/2015,30/09/2019,95042.0,South East
118,BBSRC,University of Oxford,Wellcome Trust Centre for Human Genetics,Research Grant,01/11/2016,31/10/2019,347693.0,South East
120,STFC,University of Nottingham,Sch of Physics & Astronomy,Training Grant,01/10/2017,30/09/2021,221037.0,East Midlands
121,Innovate UK,Euriscus Limited,,Collaborative R&D,01/10/2017,31/03/2020,566007.0,South East
122,STFC,University of St Andrews,Mathematics and Statistics,Training Grant,01/10/2015,30/09/2020,226300.0,Scotland
123,Innovate UK,Cardiff University,,Knowledge Transfer Partnership,01/11/2016,31/10/2019,151734.0,Wales
124,EPSRC,University of Glasgow,School of Computing Science,Research Grant,01/01/2016,31/12/2020,4183694.0,Scotland
125,EPSRC,University of Manchester,Research Support Services,Training Grant,01/10/2016,30/09/2021,6595228.0,North West
127,Innovate UK,Helia Photonics Limited,,EU-Funded,01/07/2018,30/06/2021,124411.0,Unknown
128,Innovate UK,Liverpool John Moores University,,CRD,01/10/2018,31/07/2020,213148.0,North West
129,STFC,Swansea University,College of Science,Fellowship,01/01/2018,31/12/2020,115641.0,Wales
130,NC3Rs,King's College London,Craniofacial Dev and Stem Cell Biology,Research Grant,01/09/2018,31/08/2021,309100.0,London
131,BBSRC,Aston University,Sch of Life and Health Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,West Midlands
132,MRC,University of Oxford,Weatherall Inst of Molecular Medicine,Research Grant,01/08/2015,30/09/2019,503126.0,South East
