,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
0,STFC,Durham University,Physics,Training Grant,01/10/2017,30/09/2021,735070.0,,North East
1,ESRC,University of Oxford,Education,Studentship,01/10/2017,30/09/2021,0.0,,South East
2,ESRC,University of Warwick,Politics and International Studies,Research Grant,15/06/2018,14/06/2019,7027.0,,West Midlands
3,BBSRC,University of Nottingham,School of Life Sciences,Research Grant,01/08/2018,31/07/2021,495279.0,,East Midlands
4,BBSRC,University of York,Biology,Research Grant,01/01/2014,31/12/2019,3141753.0,,Yorkshire and The Humber
5,BBSRC,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,01/10/2017,30/09/2019,219317.0,,London
6,EPSRC,Durham University,Mathematical Sciences,Studentship,01/10/2017,31/03/2021,0.0,,North East
7,EPSRC,University of Edinburgh,Sch of Mathematics,Studentship,01/10/2016,31/03/2020,0.0,,Scotland
8,ESRC,Imperial College London,The Centre for Environmental Policy,Studentship,01/10/2017,30/09/2020,0.0,,London
9,AHRC,University of the Arts London,Central Saint Martin's College,Research Grant,15/01/2017,31/08/2019,299280.0,,London
10,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,29/09/2016,30/09/2019,0.0,,South East
11,STFC,Open University,"Faculty of Sci, Tech, Eng & Maths (STEM)",Studentship,01/10/2017,30/09/2020,0.0,,South East
12,Innovate UK,Trak-Rap Limited,,Collaborative R&D,01/09/2017,28/02/2019,381564.0,,Yorkshire and The Humber
13,EPSRC,Cardiff University,Chemistry,Studentship,01/10/2017,31/03/2021,0.0,,Wales
14,EPSRC,University of Bristol,Mathematics,Research Grant,01/08/2018,31/08/2020,120934.0,,South West
15,EPSRC,University of Manchester,Earth Atmospheric and Env Sciences,Studentship,18/09/2017,31/03/2021,0.0,,North West
16,EPSRC,University of Manchester,Electrical and Electronic Engineering,Studentship,01/04/2017,31/03/2020,0.0,,North West
17,EPSRC,University of Huddersfield,Research and Enterprise,Studentship,01/10/2017,30/09/2020,0.0,,Yorkshire and The Humber
18,BBSRC,University of Strathclyde,Inst of Pharmacy and Biomedical Sci,Training Grant,01/10/2018,30/09/2022,99034.0,,Scotland
19,BBSRC,Newcastle University,Inst for Cell and Molecular Biosciences,Studentship,01/10/2016,30/09/2020,0.0,,North East
20,MRC,MRC London Institute of Medical Sciences,,Intramural,01/09/2014,,,1754523.0,London
21,MRC,University of Oxford,Psychiatry,Research Grant,01/07/2017,31/10/2020,767454.0,,South East
22,BBSRC,University of Oxford,Zoology,Training Grant,01/10/2017,30/09/2021,98212.0,,South East
23,BBSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Studentship,01/12/2017,30/11/2021,0.0,,Scotland
24,ESRC,Institute for Fiscal Studies,IFS Research Team,Research Grant,01/10/2014,30/09/2019,279490.0,,London
25,EPSRC,University of Oxford,Oxford Chemistry,Research Grant,01/10/2015,31/03/2019,364579.0,,South East
26,Innovate UK,Future Transport Systems Ltd,,Collaborative R&D,01/10/2017,31/03/2019,890384.0,,West Midlands
27,MRC,University of Exeter,Peninsula Medical School,Studentship,01/10/2017,30/09/2021,0.0,,South West
28,STFC,University of Manchester,Physics and Astronomy,Studentship,21/09/2017,30/09/2021,0.0,,North West
29,NC3Rs,Durham University,Biosciences,Studentship,01/10/2016,30/09/2019,0.0,,North East
30,EPSRC,University of Cambridge,Materials Science & Metallurgy,Studentship,01/10/2018,31/03/2022,0.0,,East of England
31,EPSRC,University of Leeds,Sch of Computing,Research Grant,01/04/2018,30/09/2020,303126.0,,Yorkshire and The Humber
32,BBSRC,Imperial College London,Dept of Bioengineering,Research Grant,22/01/2018,21/01/2021,541821.0,,London
33,BBSRC,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,28/09/2016,27/09/2019,417933.0,,London
34,MRC,University of Cambridge,Veterinary Medicine,Research Grant,01/07/2016,30/06/2019,552508.0,,East of England
35,Innovate UK,Queen's University of Belfast,,Knowledge Transfer Partnership,01/11/2018,31/10/2020,97894.0,,Northern Ireland
36,MRC,University of Birmingham,Institute of Immunology & Immunotherapy,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
37,ESRC,University of Essex,Economics,Research Grant,17/10/2016,16/10/2019,220953.0,,East of England
38,EPSRC,University of Nottingham,Faculty of Engineering,Studentship,01/10/2017,30/09/2020,0.0,,East Midlands
39,BBSRC,University of Reading,Food and Nutritional Sciences,Research Grant,31/03/2014,30/03/2019,595040.0,,South East
40,EPSRC,Imperial College London,Earth Science and Engineering,Research Grant,01/05/2017,30/04/2019,490886.0,,London
41,ESRC,University of Manchester,Social Sciences,Studentship,01/10/2018,30/09/2022,0.0,,North West
42,Innovate UK,Serelay Limited,,Feasibility Studies,01/03/2018,28/02/2019,209758.0,,Unknown
43,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,25/09/2017,30/09/2021,0.0,,South East
44,STFC,University of Cambridge,Physics,Research Grant,01/10/2018,31/03/2020,14500.0,,East of England
45,EPSRC,University of Bristol,Engineering Mathematics,Studentship,18/09/2017,31/03/2021,0.0,,South West
46,EPSRC,Cranfield University,"School of Water, Energy and Environment",Studentship,03/10/2016,02/10/2019,0.0,,East of England
47,ESRC,Edinburgh Napier University,School of Applied Science,Studentship,01/10/2018,30/09/2022,0.0,,Scotland
48,EPSRC,University of Oxford,Mathematical Institute,Studentship,01/10/2017,31/03/2021,0.0,,South East
49,EPSRC,Imperial College London,Dept of Mathematics,Studentship,01/10/2017,31/03/2021,0.0,,London
50,EPSRC,University of Exeter,Engineering Computer Science and Maths,Studentship,01/10/2017,30/09/2021,0.0,,South West
51,EPSRC,"Royal Holloway, University of London",Information Security,Studentship,19/09/2016,30/09/2020,0.0,,South East
52,EPSRC,University of Oxford,Mathematical Institute,Research Grant,01/10/2017,28/02/2021,595108.0,,South East
53,EPSRC,University of Edinburgh,Sch of Chemistry,Studentship,01/09/2016,31/08/2019,0.0,,Scotland
54,BBSRC,University of Liverpool,Institute of Integrative Biology,Studentship,01/10/2018,30/09/2022,0.0,,North West
55,EPSRC,University College London,Physics and Astronomy,Studentship,25/09/2017,30/09/2021,0.0,,London
56,EPSRC,University of Bristol,Physics,Training Grant,01/04/2014,30/09/2023,4554507.0,,South West
57,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,23/01/2014,22/01/2024,2555641.0,,East Midlands
58,EPSRC,University of Hertfordshire,Science and Technology RI,Research Grant,17/03/2017,16/03/2019,578050.0,,East of England
59,BBSRC,University of Zurich,Institute of Plant Biology,Research Grant,01/06/2018,31/05/2021,151135.0,,Outside UK
60,STFC,Durham University,Physics,Studentship,01/10/2018,30/09/2022,0.0,,North East
